ijcnn  lambda = 0.1
stepsize: SVRG¡¢SAG(0.01)  SAGA(0.0001)

SVRG: Epoch = 000, cost = 1.5944590811165680, optgap = 0.993172932970
SVRG: epoch = 037, cost = 0.2212631337254858, optgap = 0.0000000054, time = 133.407542
SVRG: epoch = 038, cost = 0.2212631321162991, optgap = 0.0000000038, time = 137.116967
SVRG: epoch = 039, cost = 0.2212631309904068, optgap = 0.0000000026, time = 141.151407
SVRG: epoch = 040, cost = 0.2212631302006480, optgap = 0.0000000019, time = 145.083785
SVRG: epoch = 041, cost = 0.2212631296466205, optgap = 0.0000000013, time = 148.839435
SVRG: epoch = 042, cost = 0.2212631292586877, optgap = 0.0000000009, time = 152.641211
SVRG: epoch = 043, cost = 0.2212631289867938, optgap = 0.0000000006, time = 156.309786
SVRG: epoch = 044, cost = 0.2212631287960788, optgap = 0.0000000004, time = 159.970997
SVRG: epoch = 045, cost = 0.2212631286624235, optgap = 0.0000000003, time = 163.635997
SVRG: epoch = 046, cost = 0.2212631285687851, optgap = 0.0000000002, time = 167.208367
SVRG: epoch = 047, cost = 0.2212631285031273, optgap = 0.0000000002, time = 170.705209
SVRG: epoch = 048, cost = 0.2212631284570931, optgap = 0.0000000001, time = 174.250827
SVRG: epoch = 049, cost = 0.2212631284248650, optgap = 0.0000000001, time = 177.841015
SVRG: epoch = 050, cost = 0.2212631284022593, optgap = 0.0000000001, time = 181.503548
SVRG: epoch = 051, cost = 0.2212631283864225, optgap = 0.0000000000, time = 185.112803
SVRG: epoch = 052, cost = 0.2212631283753067, optgap = 0.0000000000, time = 188.770752
SVRG: epoch = 053, cost = 0.2212631283675217, optgap = 0.0000000000, time = 192.302739
SVRG: epoch = 054, cost = 0.2212631283620540, optgap = 0.0000000000, time = 195.834999
SVRG: epoch = 055, cost = 0.2212631283582278, optgap = 0.0000000000, time = 199.379895
SVRG: epoch = 056, cost = 0.2212631283555415, optgap = 0.0000000000, time = 202.931907
SVRG: epoch = 057, cost = 0.2212631283536648, optgap = 0.0000000000, time = 206.445525
SVRG: epoch = 058, cost = 0.2212631283523455, optgap = 0.0000000000, time = 209.991849
SVRG: epoch = 059, cost = 0.2212631283514228, optgap = 0.0000000000, time = 213.521576
SVRG: epoch = 060, cost = 0.2212631283507783, optgap = 0.0000000000, time = 217.087431
SVRG: epoch = 061, cost = 0.2212631283503220, optgap = 0.0000000000, time = 220.618429
SVRG: epoch = 062, cost = 0.2212631283500043, optgap = 0.0000000000, time = 224.131313
Optimality gap tolerance reached: tol_optgap = 1e-12
=================== SAG ====================
SAG: Epoch = 000, cost = 0.8080489107834961, optgap = 0.5868
SAG: PASS_GRAD = 1, cost = 0.3778527318810269, optgap = 0.1565896035, time = 0.985734
SAG: PASS_GRAD = 2, cost = 0.3345364919013262, optgap = 0.1132733636, time = 2.044680
SAG: PASS_GRAD = 3, cost = 0.2585201230079565, optgap = 0.0372569947, time = 3.036810
SAG: PASS_GRAD = 4, cost = 0.2398374227400730, optgap = 0.0185742944, time = 4.031020
SAG: PASS_GRAD = 5, cost = 0.2315803477044492, optgap = 0.0103172194, time = 5.022401
SAG: PASS_GRAD = 6, cost = 0.2262954351830339, optgap = 0.0050323068, time = 6.012692
SAG: PASS_GRAD = 7, cost = 0.2245024350947626, optgap = 0.0032393067, time = 7.000306
SAG: PASS_GRAD = 8, cost = 0.2232882658081668, optgap = 0.0020251375, time = 7.994648
SAG: PASS_GRAD = 9, cost = 0.2226094246975972, optgap = 0.0013462963, time = 8.986785
