=================== prox2-saga ====================
Prox2-SAGA: PASS_GRAD = 90, cost = 0.0025973780399596, optgap = Inf, time = 35.441371, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 91, cost = 0.0025972282796570, optgap = Inf, time = 35.835278, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 92, cost = 0.0025968628462243, optgap = Inf, time = 36.226847, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 93, cost = 0.0025973893076030, optgap = Inf, time = 36.619900, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 94, cost = 0.0025968156872049, optgap = Inf, time = 37.010923, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 95, cost = 0.0025966781909131, optgap = Inf, time = 37.404132, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 96, cost = 0.0025970363954482, optgap = Inf, time = 37.792074, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 97, cost = 0.0025969754810766, optgap = Inf, time = 38.179327, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 98, cost = 0.0025968164586831, optgap = Inf, time = 38.574351, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 99, cost = 0.0025976605758274, optgap = Inf, time = 38.964596, w_gap = Inf
Prox2-SAGA: PASS_GRAD = 100, cost = 0.0025974918927121, optgap = Inf, time = 39.365726, w_gap = Inf
Max epoch reached: max_epochr = 100
=================== sdca ====================
Point-saga: Epoch = 000, cost = 1.0000000000000000, optgap = Inf
SDCA: PASS_GRAD = 1, cost = 0.0170024861784148, optgap = Inf, time = 0.225918, w_opt = Inf
SDCA: PASS_GRAD = 2, cost = 0.0129708556017629, optgap = Inf, time = 0.449663, w_opt = Inf
SDCA: PASS_GRAD = 3, cost = 0.0125094060428145, optgap = Inf, time = 0.672496, w_opt = Inf
SDCA: PASS_GRAD = 4, cost = 0.0078993696610945, optgap = Inf, time = 0.902066, w_opt = Inf
SDCA: PASS_GRAD = 5, cost = 0.0061083576388001, optgap = Inf, time = 1.127727, w_opt = Inf
SDCA: PASS_GRAD = 6, cost = 0.0062711243243374, optgap = Inf, time = 1.356163, w_opt = Inf
SDCA: PASS_GRAD = 7, cost = 0.0049516017092034, optgap = Inf, time = 1.580146, w_opt = Inf
SDCA: PASS_GRAD = 8, cost = 0.0043718724499616, optgap = Inf, time = 1.804991, w_opt = Inf
SDCA: PASS_GRAD = 9, cost = 0.0041189992952609, optgap = Inf, time = 2.035763, w_opt = Inf
